risk_id,project_id,risk_category,risk_description,probability,impact,risk_score,risk_level,risk_owner,mitigation_plan,status,date_identified,is_open_risk,is_high_risk,is_escalated,open_risk_score
RISK-PMO-0010-01,PMO-0010,Supplier,Data quality issues may delay reporting readiness.,4,1,4,Low,Michele Williams,Create corrective action plan with target completion date.,Accepted,2025-06-13,True,False,False,4
RISK-PMO-0010-02,PMO-0010,Supplier,Data quality issues may delay reporting readiness.,4,5,20,High,Michele Williams,Validate assumptions with process owners.,Closed,2025-04-30,False,True,False,0
RISK-PMO-0011-01,PMO-0011,Quality,Compliance requirements may require additional documentation.,3,3,9,Medium,Dylan Miller,Create corrective action plan with target completion date.,Closed,2026-02-09,False,False,False,0
RISK-PMO-0011-02,PMO-0011,Quality,Supplier response time may affect delivery dates.,3,2,6,Medium,Dylan Miller,Coordinate mitigation with cross-functional stakeholders.,Open,2026-02-23,True,False,False,6
RISK-PMO-0012-01,PMO-0012,Quality,Budget consumption may exceed the approved plan.,4,3,12,Medium,Connie Lawrence,Coordinate mitigation with cross-functional stakeholders.,Open,2026-07-07,True,False,False,12
RISK-PMO-0012-02,PMO-0012,Compliance,Required resources may not be available on time.,1,5,5,Low,Connie Lawrence,Validate assumptions with process owners.,Accepted,2026-07-07,True,False,False,5
RISK-PMO-0013-01,PMO-0013,Technology,Budget consumption may exceed the approved plan.,1,3,3,Low,Daniel Wagner,Escalate blocker during PMO review meeting.,Accepted,2026-01-09,True,False,False,3
RISK-PMO-0013-02,PMO-0013,Supplier,Budget consumption may exceed the approved plan.,4,2,8,Medium,Daniel Wagner,Escalate blocker during PMO review meeting.,Open,2026-03-08,True,False,False,8
RISK-PMO-0013-03,PMO-0013,Scope,Key stakeholder decisions may be delayed.,2,1,2,Low,Daniel Wagner,Create corrective action plan with target completion date.,Escalated,2026-03-15,True,False,True,2
RISK-PMO-0014-01,PMO-0014,Technology,Project scope may expand beyond the original baseline.,2,1,2,Low,Gabrielle Davis,Review budget and timeline impact with sponsor.,Closed,2026-07-07,False,False,False,0
RISK-PMO-0014-02,PMO-0014,Technology,Process owners may not complete validation on schedule.,2,1,2,Low,Gabrielle Davis,Validate assumptions with process owners.,Escalated,2026-07-04,True,False,True,2
RISK-PMO-0014-03,PMO-0014,Budget,Operational workload may limit project execution capacity.,2,3,6,Medium,Gabrielle Davis,Assign dedicated owner and review weekly.,Closed,2026-07-07,False,False,False,0
RISK-PMO-0016-01,PMO-0016,Stakeholder,Process owners may not complete validation on schedule.,1,2,2,Low,Allison Hill,Assign dedicated owner and review weekly.,Closed,2025-10-12,False,False,False,0
RISK-PMO-0016-02,PMO-0016,Operational,Operational workload may limit project execution capacity.,2,3,6,Medium,Allison Hill,Escalate blocker during PMO review meeting.,Accepted,2025-09-21,True,False,False,6
RISK-PMO-0018-01,PMO-0018,Supplier,Process owners may not complete validation on schedule.,4,5,20,High,Gina Moore,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2026-04-11,True,True,False,20
RISK-PMO-0018-02,PMO-0018,Technology,Budget consumption may exceed the approved plan.,3,2,6,Medium,Gina Moore,Create corrective action plan with target completion date.,Closed,2026-05-06,False,False,False,0
RISK-PMO-0018-03,PMO-0018,Scope,Required resources may not be available on time.,2,1,2,Low,Gina Moore,Increase reporting cadence until risk is reduced.,Closed,2026-05-01,False,False,False,0
RISK-PMO-0018-04,PMO-0018,Budget,System integration complexity may increase implementation effort.,5,4,20,High,Gina Moore,Escalate blocker during PMO review meeting.,Escalated,2026-05-29,True,True,True,20
RISK-PMO-0019-01,PMO-0019,Scope,Key stakeholder decisions may be delayed.,1,2,2,Low,Angie Henderson,Escalate blocker during PMO review meeting.,Open,2026-03-17,True,False,False,2
RISK-PMO-0019-02,PMO-0019,Quality,Operational workload may limit project execution capacity.,3,4,12,Medium,Angie Henderson,Escalate blocker during PMO review meeting.,Closed,2026-02-18,False,False,False,0
RISK-PMO-0020-01,PMO-0020,Budget,Process owners may not complete validation on schedule.,3,3,9,Medium,Dylan Miller,Review budget and timeline impact with sponsor.,Escalated,2025-05-20,True,False,True,9
RISK-PMO-0021-01,PMO-0021,Quality,Project scope may expand beyond the original baseline.,4,5,20,High,Cristian Santos,Coordinate mitigation with cross-functional stakeholders.,Accepted,2025-12-07,True,True,False,20
RISK-PMO-0021-02,PMO-0021,Technology,Required resources may not be available on time.,3,3,9,Medium,Cristian Santos,Create corrective action plan with target completion date.,Escalated,2025-10-06,True,False,True,9
RISK-PMO-0021-03,PMO-0021,Technology,Compliance requirements may require additional documentation.,4,5,20,High,Cristian Santos,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2025-12-06,True,True,False,20
RISK-PMO-0022-01,PMO-0022,Budget,Compliance requirements may require additional documentation.,2,2,4,Low,Daniel Wagner,Coordinate mitigation with cross-functional stakeholders.,Accepted,2026-07-07,True,False,False,4
RISK-PMO-0022-02,PMO-0022,Budget,Key stakeholder decisions may be delayed.,4,5,20,High,Daniel Wagner,Increase reporting cadence until risk is reduced.,Accepted,2026-07-07,True,True,False,20
RISK-PMO-0023-01,PMO-0023,Compliance,Compliance requirements may require additional documentation.,5,2,10,Medium,Angie Henderson,Create corrective action plan with target completion date.,Closed,2026-01-08,False,False,False,0
RISK-PMO-0023-02,PMO-0023,Budget,Compliance requirements may require additional documentation.,4,1,4,Low,Angie Henderson,Validate assumptions with process owners.,Closed,2026-03-04,False,False,False,0
RISK-PMO-0024-01,PMO-0024,Operational,Key stakeholder decisions may be delayed.,1,4,4,Low,Daniel Wagner,Validate assumptions with process owners.,Open,2025-06-04,True,False,False,4
RISK-PMO-0024-02,PMO-0024,Schedule,System integration complexity may increase implementation effort.,5,4,20,High,Daniel Wagner,Review budget and timeline impact with sponsor.,Escalated,2025-05-21,True,True,True,20
RISK-PMO-0024-03,PMO-0024,Schedule,System integration complexity may increase implementation effort.,3,1,3,Low,Daniel Wagner,Assign dedicated owner and review weekly.,Closed,2025-06-25,False,False,False,0
RISK-PMO-0025-01,PMO-0025,Schedule,Budget consumption may exceed the approved plan.,1,5,5,Low,Daniel Wagner,Validate assumptions with process owners.,Mitigation In Progress,2026-07-07,True,False,False,5
RISK-PMO-0026-01,PMO-0026,Stakeholder,System integration complexity may increase implementation effort.,2,4,8,Medium,Ryan Munoz,Validate assumptions with process owners.,Mitigation In Progress,2026-01-23,True,False,False,8
RISK-PMO-0026-02,PMO-0026,Resource,Compliance requirements may require additional documentation.,1,5,5,Low,Ryan Munoz,Assign dedicated owner and review weekly.,Open,2026-01-19,True,False,False,5
RISK-PMO-0026-03,PMO-0026,Schedule,Key stakeholder decisions may be delayed.,4,5,20,High,Ryan Munoz,Coordinate mitigation with cross-functional stakeholders.,Open,2026-01-03,True,True,False,20
RISK-PMO-0026-04,PMO-0026,Supplier,System integration complexity may increase implementation effort.,3,4,12,Medium,Ryan Munoz,Validate assumptions with process owners.,Escalated,2026-02-13,True,False,True,12
RISK-PMO-0027-01,PMO-0027,Budget,Key stakeholder decisions may be delayed.,4,3,12,Medium,Michele Williams,Review budget and timeline impact with sponsor.,Open,2025-07-11,True,False,False,12
RISK-PMO-0027-02,PMO-0027,Scope,Project scope may expand beyond the original baseline.,4,5,20,High,Michele Williams,Create corrective action plan with target completion date.,Escalated,2025-06-19,True,True,True,20
RISK-PMO-0029-01,PMO-0029,Technology,Supplier response time may affect delivery dates.,5,1,5,Low,Michele Williams,Validate assumptions with process owners.,Open,2025-11-22,True,False,False,5
RISK-PMO-0029-02,PMO-0029,Supplier,Budget consumption may exceed the approved plan.,5,2,10,Medium,Michele Williams,Create corrective action plan with target completion date.,Closed,2025-11-24,False,False,False,0
RISK-PMO-0030-01,PMO-0030,Compliance,Supplier response time may affect delivery dates.,5,3,15,High,Cristian Santos,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2026-07-06,True,True,False,15
RISK-PMO-0030-02,PMO-0030,Stakeholder,Budget consumption may exceed the approved plan.,3,2,6,Medium,Cristian Santos,Create corrective action plan with target completion date.,Accepted,2026-06-16,True,False,False,6
RISK-PMO-0031-01,PMO-0031,Stakeholder,Compliance requirements may require additional documentation.,1,5,5,Low,Ryan Munoz,Review budget and timeline impact with sponsor.,Accepted,2025-06-18,True,False,False,5
RISK-PMO-0031-02,PMO-0031,Stakeholder,Compliance requirements may require additional documentation.,4,1,4,Low,Ryan Munoz,Review budget and timeline impact with sponsor.,Accepted,2025-08-17,True,False,False,4
RISK-PMO-0031-03,PMO-0031,Resource,Compliance requirements may require additional documentation.,3,4,12,Medium,Ryan Munoz,Validate assumptions with process owners.,Mitigation In Progress,2025-07-04,True,False,False,12
RISK-PMO-0032-01,PMO-0032,Technology,Key stakeholder decisions may be delayed.,2,2,4,Low,Dylan Miller,Create corrective action plan with target completion date.,Closed,2025-06-12,False,False,False,0
RISK-PMO-0033-01,PMO-0033,Scope,Budget consumption may exceed the approved plan.,4,4,16,High,Lisa Hensley,Validate assumptions with process owners.,Closed,2025-08-19,False,True,False,0
RISK-PMO-0033-02,PMO-0033,Compliance,Project scope may expand beyond the original baseline.,2,3,6,Medium,Lisa Hensley,Coordinate mitigation with cross-functional stakeholders.,Closed,2025-09-28,False,False,False,0
RISK-PMO-0034-01,PMO-0034,Budget,Supplier response time may affect delivery dates.,3,4,12,Medium,Daniel Wagner,Assign dedicated owner and review weekly.,Escalated,2026-07-07,True,False,True,12
RISK-PMO-0034-02,PMO-0034,Compliance,Budget consumption may exceed the approved plan.,5,5,25,High,Daniel Wagner,Coordinate mitigation with cross-functional stakeholders.,Open,2026-06-24,True,True,False,25
RISK-PMO-0035-01,PMO-0035,Technology,Supplier response time may affect delivery dates.,2,2,4,Low,Connie Lawrence,Review budget and timeline impact with sponsor.,Accepted,2025-11-29,True,False,False,4
RISK-PMO-0036-01,PMO-0036,Compliance,Budget consumption may exceed the approved plan.,5,2,10,Medium,Abigail Shaffer,Increase reporting cadence until risk is reduced.,Closed,2025-11-30,False,False,False,0
RISK-PMO-0036-02,PMO-0036,Quality,Data quality issues may delay reporting readiness.,4,4,16,High,Abigail Shaffer,Escalate blocker during PMO review meeting.,Closed,2025-12-15,False,True,False,0
RISK-PMO-0037-01,PMO-0037,Compliance,Supplier response time may affect delivery dates.,4,1,4,Low,Monica Herrera,Coordinate mitigation with cross-functional stakeholders.,Closed,2025-12-19,False,False,False,0
RISK-PMO-0037-02,PMO-0037,Scope,Required resources may not be available on time.,3,3,9,Medium,Monica Herrera,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2025-12-31,True,False,False,9
RISK-PMO-0037-03,PMO-0037,Stakeholder,Budget consumption may exceed the approved plan.,1,3,3,Low,Monica Herrera,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-01-02,True,False,False,3
RISK-PMO-0037-04,PMO-0037,Scope,Process owners may not complete validation on schedule.,2,2,4,Low,Monica Herrera,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2025-12-07,True,False,False,4
RISK-PMO-0038-01,PMO-0038,Technology,Process owners may not complete validation on schedule.,3,3,9,Medium,Jamie Arnold,Review budget and timeline impact with sponsor.,Closed,2025-06-15,False,False,False,0
RISK-PMO-0038-02,PMO-0038,Resource,Compliance requirements may require additional documentation.,2,3,6,Medium,Jamie Arnold,Validate assumptions with process owners.,Open,2025-06-22,True,False,False,6
RISK-PMO-0038-03,PMO-0038,Schedule,Key stakeholder decisions may be delayed.,1,5,5,Low,Jamie Arnold,Coordinate mitigation with cross-functional stakeholders.,Open,2025-04-23,True,False,False,5
RISK-PMO-0038-04,PMO-0038,Resource,Key stakeholder decisions may be delayed.,4,2,8,Medium,Jamie Arnold,Assign dedicated owner and review weekly.,Closed,2025-05-13,False,False,False,0
RISK-PMO-0039-01,PMO-0039,Operational,Process owners may not complete validation on schedule.,5,4,20,High,Monica Herrera,Review budget and timeline impact with sponsor.,Mitigation In Progress,2026-02-18,True,True,False,20
RISK-PMO-0039-02,PMO-0039,Schedule,Key stakeholder decisions may be delayed.,4,1,4,Low,Monica Herrera,Validate assumptions with process owners.,Open,2026-02-09,True,False,False,4
RISK-PMO-0040-01,PMO-0040,Stakeholder,Required resources may not be available on time.,3,5,15,High,Lisa Hensley,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-07-07,True,True,False,15
RISK-PMO-0040-02,PMO-0040,Operational,Compliance requirements may require additional documentation.,1,1,1,Low,Lisa Hensley,Create corrective action plan with target completion date.,Accepted,2026-07-07,True,False,False,1
RISK-PMO-0041-01,PMO-0041,Stakeholder,Process owners may not complete validation on schedule.,3,3,9,Medium,Gabrielle Davis,Escalate blocker during PMO review meeting.,Closed,2025-09-18,False,False,False,0
RISK-PMO-0041-02,PMO-0041,Budget,Key stakeholder decisions may be delayed.,5,2,10,Medium,Gabrielle Davis,Escalate blocker during PMO review meeting.,Accepted,2025-10-06,True,False,False,10
RISK-PMO-0041-03,PMO-0041,Schedule,Key stakeholder decisions may be delayed.,1,4,4,Low,Gabrielle Davis,Validate assumptions with process owners.,Mitigation In Progress,2025-11-17,True,False,False,4
RISK-PMO-0042-01,PMO-0042,Compliance,Operational workload may limit project execution capacity.,1,4,4,Low,Ryan Munoz,Coordinate mitigation with cross-functional stakeholders.,Closed,2026-03-08,False,False,False,0
RISK-PMO-0042-02,PMO-0042,Operational,Process owners may not complete validation on schedule.,1,5,5,Low,Ryan Munoz,Create corrective action plan with target completion date.,Accepted,2026-01-14,True,False,False,5
RISK-PMO-0042-03,PMO-0042,Supplier,Operational workload may limit project execution capacity.,3,1,3,Low,Ryan Munoz,Escalate blocker during PMO review meeting.,Accepted,2026-03-13,True,False,False,3
RISK-PMO-0042-04,PMO-0042,Scope,Operational workload may limit project execution capacity.,1,2,2,Low,Ryan Munoz,Assign dedicated owner and review weekly.,Accepted,2026-01-25,True,False,False,2
RISK-PMO-0043-01,PMO-0043,Operational,System integration complexity may increase implementation effort.,4,1,4,Low,Dylan Miller,Create corrective action plan with target completion date.,Open,2026-05-13,True,False,False,4
RISK-PMO-0043-02,PMO-0043,Budget,Compliance requirements may require additional documentation.,5,3,15,High,Dylan Miller,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2026-03-19,True,True,False,15
RISK-PMO-0044-01,PMO-0044,Operational,Operational workload may limit project execution capacity.,1,4,4,Low,Gina Moore,Escalate blocker during PMO review meeting.,Open,2025-08-10,True,False,False,4
RISK-PMO-0044-02,PMO-0044,Quality,Process owners may not complete validation on schedule.,5,4,20,High,Gina Moore,Assign dedicated owner and review weekly.,Accepted,2025-09-11,True,True,False,20
RISK-PMO-0044-03,PMO-0044,Resource,Operational workload may limit project execution capacity.,4,2,8,Medium,Gina Moore,Validate assumptions with process owners.,Mitigation In Progress,2025-09-18,True,False,False,8
RISK-PMO-0045-01,PMO-0045,Quality,Required resources may not be available on time.,5,3,15,High,Gina Moore,Assign dedicated owner and review weekly.,Escalated,2026-01-01,True,True,True,15
RISK-PMO-0045-02,PMO-0045,Budget,Project scope may expand beyond the original baseline.,4,2,8,Medium,Gina Moore,Escalate blocker during PMO review meeting.,Closed,2026-02-01,False,False,False,0
RISK-PMO-0045-03,PMO-0045,Resource,Project scope may expand beyond the original baseline.,1,3,3,Low,Gina Moore,Assign dedicated owner and review weekly.,Mitigation In Progress,2026-01-26,True,False,False,3
RISK-PMO-0045-04,PMO-0045,Stakeholder,Project scope may expand beyond the original baseline.,2,4,8,Medium,Gina Moore,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-03-04,True,False,False,8
RISK-PMO-0046-01,PMO-0046,Compliance,System integration complexity may increase implementation effort.,3,5,15,High,Cristian Santos,Coordinate mitigation with cross-functional stakeholders.,Open,2025-12-28,True,True,False,15
RISK-PMO-0047-01,PMO-0047,Operational,Compliance requirements may require additional documentation.,4,4,16,High,Angie Henderson,Create corrective action plan with target completion date.,Escalated,2026-03-07,True,True,True,16
RISK-PMO-0047-02,PMO-0047,Quality,Process owners may not complete validation on schedule.,2,4,8,Medium,Angie Henderson,Escalate blocker during PMO review meeting.,Open,2026-01-29,True,False,False,8
RISK-PMO-0048-01,PMO-0048,Budget,Data quality issues may delay reporting readiness.,2,4,8,Medium,Jamie Arnold,Validate assumptions with process owners.,Open,2026-07-02,True,False,False,8
RISK-PMO-0048-02,PMO-0048,Operational,Supplier response time may affect delivery dates.,3,2,6,Medium,Jamie Arnold,Increase reporting cadence until risk is reduced.,Closed,2026-07-07,False,False,False,0
RISK-PMO-0049-01,PMO-0049,Operational,System integration complexity may increase implementation effort.,1,2,2,Low,Gabrielle Davis,Escalate blocker during PMO review meeting.,Closed,2025-03-30,False,False,False,0
RISK-PMO-0050-01,PMO-0050,Resource,Budget consumption may exceed the approved plan.,4,3,12,Medium,Jamie Arnold,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-07-07,True,False,False,12
RISK-PMO-0050-02,PMO-0050,Compliance,Required resources may not be available on time.,3,5,15,High,Jamie Arnold,Validate assumptions with process owners.,Accepted,2026-05-19,True,True,False,15
RISK-PMO-0050-03,PMO-0050,Technology,Operational workload may limit project execution capacity.,4,3,12,Medium,Jamie Arnold,Review budget and timeline impact with sponsor.,Open,2026-07-07,True,False,False,12
RISK-PMO-0051-01,PMO-0051,Budget,Operational workload may limit project execution capacity.,4,3,12,Medium,Angie Henderson,Escalate blocker during PMO review meeting.,Closed,2025-04-20,False,False,False,0
RISK-PMO-0051-02,PMO-0051,Supplier,Key stakeholder decisions may be delayed.,2,5,10,Medium,Angie Henderson,Review budget and timeline impact with sponsor.,Accepted,2025-03-24,True,False,False,10
RISK-PMO-0051-03,PMO-0051,Budget,System integration complexity may increase implementation effort.,4,2,8,Medium,Angie Henderson,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2025-04-07,True,False,False,8
RISK-PMO-0052-01,PMO-0052,Stakeholder,System integration complexity may increase implementation effort.,3,2,6,Medium,Cristian Santos,Review budget and timeline impact with sponsor.,Open,2025-09-25,True,False,False,6
RISK-PMO-0052-02,PMO-0052,Stakeholder,Compliance requirements may require additional documentation.,1,4,4,Low,Cristian Santos,Increase reporting cadence until risk is reduced.,Accepted,2025-11-06,True,False,False,4
RISK-PMO-0052-03,PMO-0052,Supplier,Operational workload may limit project execution capacity.,5,4,20,High,Cristian Santos,Review budget and timeline impact with sponsor.,Mitigation In Progress,2025-10-22,True,True,False,20
RISK-PMO-0052-04,PMO-0052,Compliance,Required resources may not be available on time.,1,1,1,Low,Cristian Santos,Review budget and timeline impact with sponsor.,Closed,2025-11-29,False,False,False,0
RISK-PMO-0053-01,PMO-0053,Stakeholder,Project scope may expand beyond the original baseline.,5,4,20,High,Daniel Wagner,Coordinate mitigation with cross-functional stakeholders.,Accepted,2025-10-31,True,True,False,20
RISK-PMO-0054-01,PMO-0054,Operational,Operational workload may limit project execution capacity.,1,3,3,Low,Ryan Munoz,Increase reporting cadence until risk is reduced.,Open,2025-08-04,True,False,False,3
RISK-PMO-0054-02,PMO-0054,Operational,Compliance requirements may require additional documentation.,2,4,8,Medium,Ryan Munoz,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2025-07-28,True,False,False,8
RISK-PMO-0056-01,PMO-0056,Budget,Required resources may not be available on time.,1,4,4,Low,Gabrielle Davis,Assign dedicated owner and review weekly.,Open,2026-01-29,True,False,False,4
RISK-PMO-0056-02,PMO-0056,Technology,Data quality issues may delay reporting readiness.,3,3,9,Medium,Gabrielle Davis,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-01-02,True,False,False,9
RISK-PMO-0056-03,PMO-0056,Compliance,Project scope may expand beyond the original baseline.,4,1,4,Low,Gabrielle Davis,Validate assumptions with process owners.,Mitigation In Progress,2026-03-06,True,False,False,4
RISK-PMO-0057-01,PMO-0057,Budget,Required resources may not be available on time.,1,1,1,Low,Jamie Arnold,Review budget and timeline impact with sponsor.,Open,2026-05-21,True,False,False,1
RISK-PMO-0057-02,PMO-0057,Supplier,System integration complexity may increase implementation effort.,2,5,10,Medium,Jamie Arnold,Escalate blocker during PMO review meeting.,Open,2026-04-28,True,False,False,10
RISK-PMO-0057-03,PMO-0057,Resource,System integration complexity may increase implementation effort.,4,2,8,Medium,Jamie Arnold,Create corrective action plan with target completion date.,Closed,2026-06-27,False,False,False,0
RISK-PMO-0058-01,PMO-0058,Stakeholder,System integration complexity may increase implementation effort.,1,5,5,Low,Ryan Munoz,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-07-07,True,False,False,5
RISK-PMO-0059-01,PMO-0059,Budget,Compliance requirements may require additional documentation.,2,3,6,Medium,Michele Williams,Increase reporting cadence until risk is reduced.,Closed,2025-10-17,False,False,False,0
RISK-PMO-0060-01,PMO-0060,Technology,Compliance requirements may require additional documentation.,3,2,6,Medium,Noah Rhodes,Review budget and timeline impact with sponsor.,Mitigation In Progress,2025-12-18,True,False,False,6
RISK-PMO-0060-02,PMO-0060,Budget,Data quality issues may delay reporting readiness.,3,5,15,High,Noah Rhodes,Increase reporting cadence until risk is reduced.,Mitigation In Progress,2026-01-04,True,True,False,15
RISK-PMO-0060-03,PMO-0060,Quality,Operational workload may limit project execution capacity.,3,4,12,Medium,Noah Rhodes,Review budget and timeline impact with sponsor.,Escalated,2026-02-09,True,False,True,12
RISK-PMO-0061-01,PMO-0061,Resource,Data quality issues may delay reporting readiness.,2,3,6,Medium,Abigail Shaffer,Assign dedicated owner and review weekly.,Open,2026-07-07,True,False,False,6
RISK-PMO-0061-02,PMO-0061,Operational,System integration complexity may increase implementation effort.,2,5,10,Medium,Abigail Shaffer,Create corrective action plan with target completion date.,Mitigation In Progress,2026-07-07,True,False,False,10
RISK-PMO-0061-03,PMO-0061,Resource,Compliance requirements may require additional documentation.,4,2,8,Medium,Abigail Shaffer,Review budget and timeline impact with sponsor.,Mitigation In Progress,2026-07-07,True,False,False,8
RISK-PMO-0061-04,PMO-0061,Technology,Operational workload may limit project execution capacity.,2,4,8,Medium,Abigail Shaffer,Escalate blocker during PMO review meeting.,Open,2026-06-27,True,False,False,8
RISK-PMO-0063-01,PMO-0063,Supplier,Process owners may not complete validation on schedule.,4,2,8,Medium,Lisa Hensley,Increase reporting cadence until risk is reduced.,Open,2025-11-14,True,False,False,8
RISK-PMO-0063-02,PMO-0063,Resource,Project scope may expand beyond the original baseline.,4,4,16,High,Lisa Hensley,Validate assumptions with process owners.,Mitigation In Progress,2025-11-21,True,True,False,16
RISK-PMO-0063-03,PMO-0063,Schedule,Budget consumption may exceed the approved plan.,5,1,5,Low,Lisa Hensley,Escalate blocker during PMO review meeting.,Closed,2025-10-24,False,False,False,0
RISK-PMO-0065-01,PMO-0065,Technology,Compliance requirements may require additional documentation.,3,2,6,Medium,Monica Herrera,Review budget and timeline impact with sponsor.,Accepted,2026-01-20,True,False,False,6
RISK-PMO-0065-02,PMO-0065,Supplier,Data quality issues may delay reporting readiness.,5,1,5,Low,Monica Herrera,Coordinate mitigation with cross-functional stakeholders.,Accepted,2025-12-13,True,False,False,5
RISK-PMO-0065-03,PMO-0065,Scope,System integration complexity may increase implementation effort.,5,1,5,Low,Monica Herrera,Increase reporting cadence until risk is reduced.,Accepted,2026-01-04,True,False,False,5
RISK-PMO-0066-01,PMO-0066,Quality,Data quality issues may delay reporting readiness.,2,3,6,Medium,Michele Williams,Validate assumptions with process owners.,Closed,2026-06-01,False,False,False,0
RISK-PMO-0068-01,PMO-0068,Compliance,Operational workload may limit project execution capacity.,1,2,2,Low,Gina Moore,Review budget and timeline impact with sponsor.,Open,2026-07-07,True,False,False,2
